,dataExtracao,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,2020-06-13,SUDOESTE,"-15,848741","-48,067949",4446,22.5,535.87,78,1.8
1,2020-06-13,Águas Claras,"-15,835755","-48,023704",852,4.3,499.31,9,1.1
2,2020-06-13,Recanto das Emas,"-15,91697","-48,101851",506,2.6,382.04,17,3.4
3,2020-06-13,Samambaia,"-15,874647","-48,101735",1298,6.6,529.88,32,2.5
4,2020-06-13,Taguatinga,"-15,829303","-48,055925",1499,7.6,720.06,17,1.1
5,2020-06-13,Vicente Pires,"-15,80135","-48,029207",291,1.5,396.18,3,1.0
6,2020-06-13,CENTRAL,"-15,787416","-47,904364",2829,14.3,720.40,25,0.9
7,2020-06-13,Plano Piloto,"-15,79558","-47,880991",1729,8.7,750.73,14,0.8
8,2020-06-13,Sudoeste/Octogonal,"-15,791981","-47,929973",352,1.8,637.01,6,1.7
9,2020-06-13,Cruzeiro,"-15,783461","-47,935849",178,0.9,576.91,0,0.0
10,2020-06-13,Lago Norte,"-15,716136","-47,872314",220,1.1,592.56,1,0.5
11,2020-06-13,Lago Sul,"-15,866769","-47,863069",331,1.7,1091.69,4,1.2
12,2020-06-13,Varjão do Torto,"-15,709046","-47,878307",19,0.1,215.20,0,0.0
13,2020-06-13,CENTRO SUL,"-15,832904","-47,964603",2178,11.0,571.96,34,1.6
14,2020-06-13,Candangolândia,"-15,850394","-47,948315",79,0.4,483.54,2,2.5
15,2020-06-13,Parkway,"-15,912218","-47,958777",122,0.6,529.10,1,0.8
16,2020-06-13,Guará,"-15,819059","-47,97966",821,4.2,584.09,12,1.5
17,2020-06-13,Núcleo Bandeirante,"-15,872164","-47,968502",172,0.9,716.10,4,2.3
18,2020-06-13,Riacho Fundo I,"-15,882885","-48,016893",425,2.2,969.99,7,1.6
19,2020-06-13,Riacho Fundo II,"-15,924313","-48,037374",130,0.7,138.87,1,0.8
20,2020-06-13,SCIA (Estrutural),"-15,783705","-47,987222",411,2.1,1117.76,7,1.7
21,2020-06-13,SIA,"-15,802812","-47,960215",18,0.1,686.76,0,0.0
22,2020-06-13,NORTE,"-15,661909","-47,813598",1565,7.9,440.84,22,1.4
23,2020-06-13,Fercal,"-15,598803","-47,86915",17,0.1,179.48,0,0.0
24,2020-06-13,Planaltina,"-15,713838","-47,520359",765,3.9,390.13,14,1.8
25,2020-06-13,Sobradinho I,"-15,653501","-47,802874",690,3.5,969.58,7,1.0
26,2020-06-13,Sobradinho II,"-15,621837","-47,803434",93,0.5,118.80,1,1.1
27,2020-06-13,SUL,"-16,025131","-48,051063",1822,9.2,667.50,22,1.2
28,2020-06-13,Gama,"-15,99793","-48,145463",1069,5.4,743.97,13,1.2
29,2020-06-13,Santa Maria,"-16,024697","-47,990179",753,3.8,582.50,9,1.2
30,2020-06-13,OESTE,"-15,76191","-48,139419",3088,15.6,608.05,67,2.2
31,2020-06-13,Brazlândia,"-15,631225","-48,131325",357,1.8,557.58,4,1.1
32,2020-06-13,Ceilândia,"-15,817297","-48,170523",2731,13.8,615.33,63,2.3
33,2020-06-13,LESTE,"-15,835614","-47,715819",1771,9.0,564.80,17,1.0
34,2020-06-13,Itapoã,"-15,744747","-47,764271",238,1.2,367.58,2,0.8
35,2020-06-13,Paranoá,"-15,931541","-47,525609",665,3.4,890.35,3,0.5
36,2020-06-13,São Sebastião,"-15,934012","-47,756858",650,3.3,560.40,8,1.2
37,2020-06-13,Jardim Botânico,"-15,855691","-47,809974",218,1.1,374.97,2,0.9
38,2020-06-13,População Privada de Liberdade,"-15,90473","-47,80732",885,4.5,6591.69,2,0.2
39,2020-06-13,RA em Investigação,nan,nan,1178,6.0,0,0.0,
