,dataExtracao,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,2020-04-28,SUDOESTE,"-15,848741","-48,067949",253,22.0,30.49,6,2.4
1,2020-04-28,Águas Claras,"-15,835755","-48,023704",122,10.6,71.50,3,2.5
2,2020-04-28,Recanto das Emas,"-15,91697","-48,101851",15,1.3,11.33,1,6.7
3,2020-04-28,Samambaia,"-15,874647","-48,101735",42,3.7,17.15,1,2.4
4,2020-04-28,Taguatinga,"-15,829303","-48,055925",41,3.6,19.69,1,2.4
5,2020-04-28,Vicente Pires,"-15,80135","-48,029207",33,2.9,44.93,0,0.0
6,2020-04-28,CENTRAL,"-15,787416","-47,904364",374,32.6,95.24,3,0.8
7,2020-04-28,Plano Piloto,"-15,79558","-47,880991",216,18.8,93.79,1,0.5
8,2020-04-28,Sudoeste/Octogonal,"-15,791981","-47,929973",48,4.2,86.87,1,2.1
9,2020-04-28,Cruzeiro,"-15,783461","-47,935849",14,1.2,45.37,0,0.0
10,2020-04-28,Lago Norte,"-15,716136","-47,872314",22,1.9,59.26,0,0.0
11,2020-04-28,Lago Sul,"-15,866769","-47,863069",73,6.4,240.77,1,1.4
12,2020-04-28,Varjão do Torto,"-15,709046","-47,878307",1,0.1,11.33,0,0.0
13,2020-04-28,CENTRO SUL,"-15,832904","-47,964603",117,10.2,30.73,8,6.8
14,2020-04-28,Candangolândia,"-15,850394","-47,948315",2,0.2,12.24,0,0.0
15,2020-04-28,Parkway,"-15,912218","-47,958777",15,1.3,65.05,0,0.0
16,2020-04-28,Guará,"-15,819059","-47,97966",61,5.3,43.40,4,6.6
17,2020-04-28,Núcleo Bandeirante,"-15,872164","-47,968502",11,1.0,45.80,1,9.1
18,2020-04-28,Riacho Fundo I,"-15,882885","-48,016893",8,0.7,18.26,2,25.0
19,2020-04-28,Riacho Fundo II,"-15,924313","-48,037374",6,0.5,6.41,0,0.0
20,2020-04-28,SCIA (Estrutural),"-15,783705","-47,987222",12,1.0,32.64,1,8.3
21,2020-04-28,NORTE,"-15,661909","-47,813598",52,4.5,14.65,0,0.0
22,2020-04-28,Fercal,"-15,598803","-47,86915",0,0.0,0.00,0,0.0
23,2020-04-28,Planaltina,"-15,713838","-47,520359",21,1.8,10.71,0,0.0
24,2020-04-28,Sobradinho I,"-15,653501","-47,802874",28,2.4,39.35,0,0.0
25,2020-04-28,Sobradinho II,"-15,621837","-47,803434",3,0.3,3.83,0,0.0
26,2020-04-28,SUL,"-16,025131","-48,051063",66,5.7,24.18,5,7.6
27,2020-04-28,Gama,"-15,99793","-48,145463",40,3.5,27.84,3,7.5
28,2020-04-28,Santa Maria,"-16,024697","-47,990179",26,2.3,20.11,2,7.7
29,2020-04-28,OESTE,"-15,76191","-48,139419",60,5.2,11.81,4,6.7
30,2020-04-28,Brazlândia,"-15,631225","-48,131325",6,0.5,9.37,0,0.0
31,2020-04-28,Ceilândia,"-15,817297","-48,170523",54,4.7,12.17,4,7.4
32,2020-04-28,LESTE,"-15,835614","-47,715819",227,19.8,72.39,2,0.9
33,2020-04-28,Itapoã,"-15,744747","-47,764271",2,0.2,3.09,0,0.0
34,2020-04-28,Paranoá,"-15,931541","-47,525609",5,0.4,6.69,0,0.0
35,2020-04-28,São Sebastião,"-15,934012","-47,756858",34,3.0,29.31,0,0.0
36,2020-04-28,Jardim Botânico,"-15,855691","-47,809974",23,2.0,39.56,2,8.7
37,2020-04-28,População Privada de Liberdade,"-15,90473","-47,80732",163,14.2,1214.06,0,0.0
