,dataExtracao,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,2020-05-14,SUDOESTE,"-15,848741","-48,067949",688,22.4,82.92,15,2.2
1,2020-05-14,Águas Claras,"-15,835755","-48,023704",246,8.0,144.17,5,2.0
2,2020-05-14,Recanto das Emas,"-15,91697","-48,101851",50,1.6,37.75,2,4.0
3,2020-05-14,Samambaia,"-15,874647","-48,101735",173,5.6,70.62,5,2.9
4,2020-05-14,Taguatinga,"-15,829303","-48,055925",167,5.4,80.22,3,1.8
5,2020-05-14,Vicente Pires,"-15,80135","-48,029207",52,1.7,70.79,0,0.0
6,2020-05-14,CENTRAL,"-15,787416","-47,904364",697,22.7,177.49,3,0.4
7,2020-05-14,Plano Piloto,"-15,79558","-47,880991",399,13.0,173.24,1,0.3
8,2020-05-14,Sudoeste/Octogonal,"-15,791981","-47,929973",78,2.5,141.16,1,1.3
9,2020-05-14,Cruzeiro,"-15,783461","-47,935849",30,1.0,97.23,0,0.0
10,2020-05-14,Lago Norte,"-15,716136","-47,872314",58,1.9,156.22,0,0.0
11,2020-05-14,Lago Sul,"-15,866769","-47,863069",129,4.2,425.46,1,0.8
12,2020-05-14,Varjão do Torto,"-15,709046","-47,878307",3,0.1,33.98,0,0.0
13,2020-05-14,CENTRO SUL,"-15,832904","-47,964603",305,9.9,80.10,11,3.6
14,2020-05-14,Candangolândia,"-15,850394","-47,948315",14,0.5,85.69,0,0.0
15,2020-05-14,Parkway,"-15,912218","-47,958777",28,0.9,121.43,0,0.0
16,2020-05-14,Guará,"-15,819059","-47,97966",143,4.7,101.74,5,3.5
17,2020-05-14,Núcleo Bandeirante,"-15,872164","-47,968502",22,0.7,91.59,1,4.5
18,2020-05-14,Riacho Fundo I,"-15,882885","-48,016893",49,1.6,111.83,3,6.1
19,2020-05-14,Riacho Fundo II,"-15,924313","-48,037374",20,0.7,21.36,1,5.0
20,2020-05-14,SCIA (Estrutural),"-15,783705","-47,987222",27,0.9,73.43,1,3.7
21,2020-05-14,SIA,"-15,802812","-47,960215",2,0.1,76.31,0,0.0
22,2020-05-14,NORTE,"-15,661909","-47,813598",194,6.3,54.65,2,1.0
23,2020-05-14,Fercal,"-15,598803","-47,86915",3,0.1,31.67,0,0.0
24,2020-05-14,Planaltina,"-15,713838","-47,520359",101,3.3,51.51,2,2.0
25,2020-05-14,Sobradinho I,"-15,653501","-47,802874",81,2.6,113.82,0,0.0
26,2020-05-14,Sobradinho II,"-15,621837","-47,803434",9,0.3,11.50,0,0.0
27,2020-05-14,SUL,"-16,025131","-48,051063",186,6.1,68.14,7,3.8
28,2020-05-14,Gama,"-15,99793","-48,145463",113,3.7,78.64,4,3.5
29,2020-05-14,Santa Maria,"-16,024697","-47,990179",73,2.4,56.47,3,4.1
30,2020-05-14,OESTE,"-15,76191","-48,139419",219,7.1,43.12,8,3.7
31,2020-05-14,Brazlândia,"-15,631225","-48,131325",32,1.0,49.98,0,0.0
32,2020-05-14,Ceilândia,"-15,817297","-48,170523",187,6.1,42.13,8,4.3
33,2020-05-14,LESTE,"-15,835614","-47,715819",187,6.1,59.64,4,2.1
34,2020-05-14,Itapoã,"-15,744747","-47,764271",15,0.5,23.17,1,6.7
35,2020-05-14,Paranoá,"-15,931541","-47,525609",32,1.0,42.84,0,0.0
36,2020-05-14,São Sebastião,"-15,934012","-47,756858",85,2.8,73.28,1,1.2
37,2020-05-14,Jardim Botânico,"-15,855691","-47,809974",55,1.8,94.60,2,3.6
38,2020-05-14,População Privada de Liberdade,"-15,90473","-47,80732",477,15.5,3552.81,0,0.0
39,2020-05-14,RA em Investigação,nan,nan,120,3.9,0,0.0,
