,dataExtracao,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,2020-05-18,SUDOESTE,"-15,848741","-48,067949",947,23.0,114.14,18,1.9
1,2020-05-18,Águas Claras,"-15,835755","-48,023704",288,7.0,168.78,5,1.7
2,2020-05-18,Recanto das Emas,"-15,91697","-48,101851",84,2.0,63.42,3,3.6
3,2020-05-18,Samambaia,"-15,874647","-48,101735",260,6.3,106.14,7,2.7
4,2020-05-18,Taguatinga,"-15,829303","-48,055925",252,6.1,121.05,3,1.2
5,2020-05-18,Vicente Pires,"-15,80135","-48,029207",63,1.5,85.77,0,0.0
6,2020-05-18,CENTRAL,"-15,787416","-47,904364",832,20.2,211.87,3,0.4
7,2020-05-18,Plano Piloto,"-15,79558","-47,880991",477,11.6,207.11,1,0.2
8,2020-05-18,Sudoeste/Octogonal,"-15,791981","-47,929973",93,2.3,168.30,1,1.1
9,2020-05-18,Cruzeiro,"-15,783461","-47,935849",44,1.1,142.61,0,0.0
10,2020-05-18,Lago Norte,"-15,716136","-47,872314",75,1.8,202.01,0,0.0
11,2020-05-18,Lago Sul,"-15,866769","-47,863069",139,3.4,458.44,1,0.7
12,2020-05-18,Varjão do Torto,"-15,709046","-47,878307",4,0.1,45.31,0,0.0
13,2020-05-18,CENTRO SUL,"-15,832904","-47,964603",389,9.4,102.15,11,2.8
14,2020-05-18,Candangolândia,"-15,850394","-47,948315",21,0.5,128.53,0,0.0
15,2020-05-18,Parkway,"-15,912218","-47,958777",38,0.9,164.80,0,0.0
16,2020-05-18,Guará,"-15,819059","-47,97966",178,4.3,126.64,5,2.8
17,2020-05-18,Núcleo Bandeirante,"-15,872164","-47,968502",30,0.7,124.90,1,3.3
18,2020-05-18,Riacho Fundo I,"-15,882885","-48,016893",59,1.4,134.66,3,5.1
19,2020-05-18,Riacho Fundo II,"-15,924313","-48,037374",25,0.6,26.70,1,4.0
20,2020-05-18,SCIA (Estrutural),"-15,783705","-47,987222",32,0.8,87.03,1,3.1
21,2020-05-18,SIA,"-15,802812","-47,960215",6,0.1,228.92,0,0.0
22,2020-05-18,NORTE,"-15,661909","-47,813598",285,6.9,80.28,4,1.4
23,2020-05-18,Fercal,"-15,598803","-47,86915",4,0.1,42.23,0,0.0
24,2020-05-18,Planaltina,"-15,713838","-47,520359",143,3.5,72.93,4,2.8
25,2020-05-18,Sobradinho I,"-15,653501","-47,802874",126,3.1,177.05,0,0.0
26,2020-05-18,Sobradinho II,"-15,621837","-47,803434",12,0.3,15.33,0,0.0
27,2020-05-18,SUL,"-16,025131","-48,051063",287,7.0,105.14,8,2.8
28,2020-05-18,Gama,"-15,99793","-48,145463",177,4.3,123.18,4,2.3
29,2020-05-18,Santa Maria,"-16,024697","-47,990179",110,2.7,85.09,4,3.6
30,2020-05-18,OESTE,"-15,76191","-48,139419",402,9.8,79.16,14,3.5
31,2020-05-18,Brazlândia,"-15,631225","-48,131325",54,1.3,84.34,0,0.0
32,2020-05-18,Ceilândia,"-15,817297","-48,170523",348,8.4,78.41,14,4.0
33,2020-05-18,LESTE,"-15,835614","-47,715819",270,6.5,86.11,4,1.5
34,2020-05-18,Itapoã,"-15,744747","-47,764271",19,0.5,29.34,1,5.3
35,2020-05-18,Paranoá,"-15,931541","-47,525609",69,1.7,92.38,0,0.0
36,2020-05-18,São Sebastião,"-15,934012","-47,756858",116,2.8,100.01,1,0.9
37,2020-05-18,Jardim Botânico,"-15,855691","-47,809974",66,1.6,113.52,2,3.0
38,2020-05-18,População Privada de Liberdade,"-15,90473","-47,80732",548,13.3,4081.63,0,0.0
39,2020-05-18,RA em Investigação,nan,nan,163,4.0,0,0.0,
